Bedrooms,Bathrooms,SquareFootage,LotSize,YearBuilt,Location,ProximityToAmenities,CrimeRate,SchoolQuality,AvgIncome,PropertyTaxRate,HOAFees,HouseStyle,GarageSpaces,Basement,Fireplaces,HeatingType,CoolingType,RoofQuality,ExteriorQuality,KitchenQuality,TotalRooms,LotConfig,Neighborhood,ConditionOfHouse,DistanceToWork,AccessToPublicTransport,WalkScore,EnergyEfficiency,RenovatedYear,Age,SalePrice
4,2,1500,0.26364570597511683,1952,Urban,4.921141183096101,1.7645160178605845,8,191298,1.9380207326570025,16.312110703190108,Contemporary,0,Yes,0,Oil,None,3,4,3,13,FR2,North,9,13.834376027472329,3,36,5.435605896944697,1964.0,70,350704.58870051475
5,2,3684,0.45981161633537093,2005,Urban,4.557744064892151,51.700628320970864,3,89099,2.963174970252254,472.91558555793483,Ranch,2,No,2,Electric,Central,1,3,3,9,Inside,South,3,9.702525270981575,1,87,0.6892322134514528,1973.0,17,748352.3183259577
3,2,2609,0.7332019020973405,1970,Suburban,4.273772659436654,52.957268071267485,6,142557,1.1187653214245101,462.87031622070964,Bungalow,0,No,2,Gas,None,3,3,1,6,FR3,South,7,25.74907251294022,7,62,1.0046621150850066,2005.0,52,528345.2238148942
5,3,841,0.5851584099313943,1901,Suburban,0.35761454927391545,40.088213512791036,3,116760,0.6991396023272174,81.32692688106053,Colonial,1,Yes,1,Gas,None,3,4,1,9,FR2,South,1,17.24811700944007,3,92,5.543919783669154,1969.0,121,174843.9622072
5,1,2985,0.4561267397617061,2005,Rural,0.6116353105407784,29.73933320619897,2,48013,0.6747295297198692,203.87012346485972,Colonial,3,No,1,Electric,Window,2,1,3,6,Inside,Central,7,24.49102105809602,5,62,3.278009686421096,1953.0,17,639588.3123573193
2,3,4868,0.36002150938538785,1923,Suburban,2.888017652090202,68.17248504123421,5,51446,2.100075970879201,415.5181566363428,Colonial,1,No,2,Oil,Central,4,2,1,12,FR2,Central,9,14.88873443234387,4,9,2.2056807363694264,1957.0,99,898154.6885290071
3,1,1271,0.8476766729233508,1903,Urban,2.7042483067809227,20.779046470475382,1,135209,2.8481505722788096,330.5001494104265,Colonial,2,Yes,1,Solar,None,4,3,3,4,Inside,Central,8,22.74174607335696,1,77,4.662569273026208,1959.0,119,208161.95097473156
3,3,763,0.186623632799073,2007,Urban,2.344019750998724,79.8948562071706,9,132261,0.5048297857287629,197.39375458535696,Colonial,0,Yes,0,Gas,Central,1,3,2,11,FR2,East,7,26.098361230814998,7,79,6.664967409043015,2013.0,15,291524.44997426745
3,2,1064,0.45859773270331,1918,Suburban,2.0442676945314626,80.30371607674718,7,125739,2.3144276173944434,372.0854985914095,Ranch,2,Yes,1,Oil,None,3,4,1,8,Corner,Central,8,12.046005780864986,4,36,3.8499194773585845,2011.0,104,233917.85885288374
5,1,3642,0.908569693186385,1925,Suburban,2.2129313758352116,41.52614375728205,3,30557,2.1426629563323636,448.52369410509544,Contemporary,3,No,1,Electric,None,2,3,1,7,CulDSac,North,4,0.9003023121684697,1,10,8.025422571573417,1974.0,97,704971.1640674975
4,1,3042,0.8535570729369693,1974,Suburban,2.889559877260497,28.354801090964767,4,191738,2.3307604805486646,463.079165262934,Bungalow,2,No,2,Gas,Window,4,2,3,4,FR2,North,2,8.020333697616817,6,89,7.385232465713937,1967.0,48,633872.2816063302
3,3,2955,0.4308946743493943,1939,Rural,0.11017493624039792,28.387818159071323,6,198461,1.388513516905839,189.4248059610945,Cape Cod,0,No,1,Gas,None,2,3,4,12,FR3,West,9,27.489993711990063,4,18,7.3491488215956675,1964.0,83,552229.2119126478
5,3,4878,0.7749529454212429,1949,Urban,1.377472993250976,48.22913239962101,3,160878,2.5512411116446376,86.78034003640944,Bungalow,3,Yes,2,Gas,Window,2,1,4,12,CulDSac,West,3,20.782496686292582,4,51,9.851896896773885,2004.0,73,991804.619834718
2,1,3157,0.8320027891734163,1942,Rural,2.6395706313746845,71.95792247493587,7,129143,0.6117673285471549,456.4194290969876,Cape Cod,2,No,2,Oil,Central,3,2,2,8,CulDSac,West,4,22.24795213488974,2,17,2.952299773716348,2016.0,80,643468.5969526903
4,3,1145,0.8944430528034483,1974,Rural,3.638858883500867,35.886869099385876,6,54578,2.388577751555069,46.27772293051413,Cape Cod,0,Yes,2,Gas,Window,1,1,1,14,Inside,West,7,10.096014120829933,1,93,6.447255863408952,1978.0,48,312214.6620154967
2,3,4435,0.5672804805967666,2008,Urban,0.9533677927374421,61.00433454577515,9,104779,1.1676798533727193,360.8441956140818,Bungalow,0,Yes,0,Gas,Window,3,4,1,12,FR2,North,2,21.187553047912356,3,31,8.554783401603135,1955.0,14,956972.7479319924
4,3,1193,0.24423784175197621,1966,Urban,2.779717751558422,38.24844605825943,5,170668,1.692094437145179,70.24865743040081,Ranch,1,Yes,1,Electric,Central,4,2,3,13,CulDSac,West,8,19.565323289578043,5,22,5.79524433913911,1960.0,56,322180.822436676
5,2,4404,0.29254362267873507,1911,Suburban,3.600852451040331,30.45231891513833,4,87500,2.5565906788930515,194.6934273338461,Colonial,2,Yes,1,Gas,Window,4,3,4,12,FR3,North,8,5.762023072572355,9,11,7.895021761153926,1972.0,111,850072.5908286297
1,2,2059,0.330909940339524,1966,Suburban,2.278675523778133,2.485951591579416,3,102534,1.1783975879778426,205.7778732725137,Ranch,3,Yes,1,Oil,Window,2,2,4,10,FR3,Central,5,29.076377934204015,7,57,4.144521858399123,1970.0,56,449521.78210963914
4,3,4093,0.6141123567691348,2005,Rural,0.23269755498325015,0.39141057353906383,10,40129,0.9630187791097338,79.37895755604168,Colonial,1,Yes,2,Electric,None,3,2,2,11,FR3,Central,9,10.94375500375833,4,76,5.904913456548046,1995.0,17,888363.6733583481
2,3,3201,0.08116914292217801,1926,Suburban,2.30141397648162,22.720767783200447,1,41596,2.2032829633697104,461.340717003306,Contemporary,2,Yes,0,Solar,Window,3,2,4,4,Inside,East,8,10.213965728281247,8,20,0.5566639280432828,1978.0,96,577516.9781738361
